zeit,symbol,mint,grund,alter_h,mcap,liq,holder,holder_1h_pct,netto_kaeufer_5m,preis_usd
2026-09-26 02:46:04,PUMP,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,STORY_ZU_ALT,10571.58,2024070803,36920410,266324,-0.0,54,0.00434017853893
2026-09-26 02:46:04,TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,STORY_ZU_ALT,14796.45,602793623,28704617,667411,-0.0,8,2.13856755513
2026-09-26 02:46:04,PAID,98kfF7rmsg1QDUEoCqNE7g7M1FdrTt92TEp2CLzypump,STORY_ZU_ALT,247.43,36719483,2834451,35012,3.8,487,0.0388071962992
2026-09-26 02:46:04,SI,DEW9dSN6QpWyNthphCpMmAbZP1Q4cEKR9xQXAri98WDP,STORY_ZU_ALT,107.02,8816084,766994,13195,0.2,26,0.00882909351836
2026-09-26 02:46:04,e/acc,CbcyNo7m1amFWqEQm2m4PLv1UNvpcL3C1Ujm6AkzpKoU,SCHON_GELAUFEN,5.52,18662460,1519906,11203,48.8,862,0.0189774327603
2026-09-26 02:46:04,MASK,HuAXPyDWDaMYFKuwQHpqL1oPnj93zdzWmtvFGzCeCUa7,STORY_ZU_ALT,65.92,19232617,315354,4616,-0.5,35,0.0192458330844
2026-09-26 02:46:04,Fartcoin,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,STORY_ZU_ALT,16988.68,195705165,7170561,189993,-0.0,9,0.195721255449
2026-09-26 02:46:04,COLLECT,nDZknLvfFRp5rgUHdzTrQsmSY5NKzoavqdLjSHVpump,STORY_ZU_ALT,25.82,2075696,290740,6930,-0.2,21,0.00209783506404
2026-09-26 02:46:04,JASON COIN,G5im68AmQ8c6C56Kdapufyu8dZddYkMBGoLbqtb98j7,STORY_ZU_ALT,245.40,377962,35817,1281,61.7,58,0.000410461414578
2026-09-26 02:46:04,ELON,GY9mZfyPpxXxBXBxS2hB2XjhP3kfUsywTvgveozxpump,STORY_ZU_ALT,555.12,4228871,200467,9157,7.1,95,0.00455658409035
2026-09-26 02:46:04,TOLY,GwF4QcxyXB5cCczvdH9qzR4gjghyCYqYiUcLNttq6QX4,STORY_ZU_ALT,245.42,103011,14309,304,294.8,202,0.000111411685399
2026-09-26 02:46:04,PMARCA,GNq9jVow6MayA3xM2AfGygh58gMu1vY6wajiXDXZCZu,STORY_ZU_ALT,245.02,644472,45316,1104,134.9,78,0.000701704497229
