zeit,aktion,symbol,mint,preis_usd,sol,these,verkaufsbedingung,grund,pnl_sol,pnl_pct
2026-09-26 06:51:09,KAUF,SHOGGOTH,35MmkVyoE3PHieNwxjV1wvmHHQqvc4fgkAXWtawtpump,3.03557168554e-05,0.2000,"Story verbreitet sich: Holder +419%/h, 28 Netto-Kaeufer 5m, 7 organisch; Block 0: 1 Kaeufer, 10.5% gekauft, 0.0% noch gehalten; Dev-Coins 44","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",,,
2026-09-26 06:57:41,VERKAUF,SHOGGOTH,35MmkVyoE3PHieNwxjV1wvmHHQqvc4fgkAXWtawtpump,1.62231897833e-05,0.1034,"Story verbreitet sich: Holder +419%/h, 28 Netto-Kaeufer 5m, 7 organisch; Block 0: 1 Kaeufer, 10.5% gekauft, 0.0% noch gehalten; Dev-Coins 44","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",NOTBREMSE (-47%),,
2026-09-26 06:57:41,ERGEBNIS,SHOGGOTH,35MmkVyoE3PHieNwxjV1wvmHHQqvc4fgkAXWtawtpump,1.62231897833e-05,0.1034,"Story verbreitet sich: Holder +419%/h, 28 Netto-Kaeufer 5m, 7 organisch; Block 0: 1 Kaeufer, 10.5% gekauft, 0.0% noch gehalten; Dev-Coins 44","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",NOTBREMSE (-47%),-0.0981,-49.0
2026-09-26 07:16:13,KAUF,/ACC,Cuu9rNw8L56JHDwu6QxkCgCSKHcestyD4u2atX6Qx2oD,3.97633548041e-05,0.2000,"Story verbreitet sich: Holder +35%/h, 26 Netto-Kaeufer 5m, 5 organisch; Block 0: 2 Kaeufer, 6.6% gekauft, 1.0% noch gehalten; Dev-Coins 1","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",,,
2026-09-26 07:31:12,VERKAUF,/ACC,Cuu9rNw8L56JHDwu6QxkCgCSKHcestyD4u2atX6Qx2oD,2.27151475211e-05,0.1109,"Story verbreitet sich: Holder +35%/h, 26 Netto-Kaeufer 5m, 5 organisch; Block 0: 2 Kaeufer, 6.6% gekauft, 1.0% noch gehalten; Dev-Coins 1","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",NOTBREMSE (-43%),,
2026-09-26 07:31:12,ERGEBNIS,/ACC,Cuu9rNw8L56JHDwu6QxkCgCSKHcestyD4u2atX6Qx2oD,2.27151475211e-05,0.1109,"Story verbreitet sich: Holder +35%/h, 26 Netto-Kaeufer 5m, 5 organisch; Block 0: 2 Kaeufer, 6.6% gekauft, 1.0% noch gehalten; Dev-Coins 1","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",NOTBREMSE (-43%),-0.0906,-45.3
2026-09-26 08:24:16,KAUF,SPIRIT/ACC,FZrBftSKdKwG4fdMPyPGZC6YXw4rexWi3p5sXYJRCZZR,2.45486280332e-05,0.2000,"Story verbreitet sich: Holder +99%/h, 6 Netto-Kaeufer 5m, 5 organisch; Block 0: 2 Kaeufer, 7.2% gekauft, 3.5% noch gehalten; Dev-Coins 1","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",,,
2026-09-26 08:48:06,KAUF,K/ACC,FTBq3qcxyehLD5VzDG5EfKhWBB5vXZtq7g6qepUAoVpx,2.5600839916e-05,0.2000,"Story verbreitet sich: Holder +1333%/h, 22 Netto-Kaeufer 5m, 3 organisch; Block 0: 1 Kaeufer, 5.0% gekauft, 0.0% noch gehalten; Dev-Coins 7","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",,,
2026-09-26 08:49:23,VERKAUF,SPIRIT/ACC,FZrBftSKdKwG4fdMPyPGZC6YXw4rexWi3p5sXYJRCZZR,2.10561653048e-05,0.1685,"Story verbreitet sich: Holder +99%/h, 6 Netto-Kaeufer 5m, 5 organisch; Block 0: 2 Kaeufer, 7.2% gekauft, 3.5% noch gehalten; Dev-Coins 1","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch","THESE_GEBROCHEN (Holder schrumpfen, Netto-Verkaeufer)",,
2026-09-26 08:49:23,ERGEBNIS,SPIRIT/ACC,FZrBftSKdKwG4fdMPyPGZC6YXw4rexWi3p5sXYJRCZZR,2.10561653048e-05,0.1685,"Story verbreitet sich: Holder +99%/h, 6 Netto-Kaeufer 5m, 5 organisch; Block 0: 2 Kaeufer, 7.2% gekauft, 3.5% noch gehalten; Dev-Coins 1","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch","THESE_GEBROCHEN (Holder schrumpfen, Netto-Verkaeufer)",-0.0330,-16.5
2026-09-26 08:59:36,VERKAUF,K/ACC,FTBq3qcxyehLD5VzDG5EfKhWBB5vXZtq7g6qepUAoVpx,1.33969882281e-05,0.1015,"Story verbreitet sich: Holder +1333%/h, 22 Netto-Kaeufer 5m, 3 organisch; Block 0: 1 Kaeufer, 5.0% gekauft, 0.0% noch gehalten; Dev-Coins 7","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",NOTBREMSE (-48%),,
2026-09-26 08:59:36,ERGEBNIS,K/ACC,FTBq3qcxyehLD5VzDG5EfKhWBB5vXZtq7g6qepUAoVpx,1.33969882281e-05,0.1015,"Story verbreitet sich: Holder +1333%/h, 22 Netto-Kaeufer 5m, 3 organisch; Block 0: 1 Kaeufer, 5.0% gekauft, 0.0% noch gehalten; Dev-Coins 7","Haelfte bei 2x; Rest raus, wenn Holder schrumpfen und Netto-Verkaeufer 2x in Folge, Liquiditaet -30%, -40% oder nach 2x 40% vom Hoch",NOTBREMSE (-48%),-0.1000,-50.0
