token_address,pair_address,symbol,dex_id,entry_time,entry_fdv_usd,entry_liquidity_usd,entry_vol24h_usd,rugcheck_score,avg_entry_price_usd,total_sol_invested,tokens_total_bought,tokens_remaining,sol_realized,dca_stage,stage_profit_level,peak_price_usd,peak_gain_pct,max_drawdown_pct,hold_duration_seconds,status,exit_time,signal_exit_usd,simulated_exit_usd,exit_reason,raw_pnl_sol,fees_sol,net_pnl_sol,net_pnl_usd
4aPz3rGjf8Ejky5jaCfRb7HF6VEmfku8b4uAiLyMpump,HS4udCwBxuwa9PfFtjQxRDY5VkZZUP6uKJxzbkp3nfSX,PUMPTHING,pumpswap,2026-09-12 20:29:23,169819.0,33601.89,283792.85,1,0.00019033,0.1500,79915.49291979152,0.0,0.1486679364867994,3,1,0.00038750,+103.6%,0.0%,1238,CLOSED,2026-09-12 20:50:01,0.00030260,0.00029848,TRAILING_STOP (-20% from Peak),0.1161,0.0081,0.1081,10.97
8w689zFsegRorSrRkYzhcHrWrxhy8CFyYfCdSezHpump,6uuZjoKFLirnfYkf7w2wjqnfAiQJ56csLMjCdVCtngnp,TENT,pumpswap,2026-09-12 20:29:23,78484.0,22155.53,125695.78,1,0.00007537,0.2500,336337.4806938521,0.0,0.0,3,0,0.00008757,+16.2%,0.0%,933,CLOSED,2026-09-12 20:44:56,0.00003647,0.00003530,HARD_STOP (-51.6%),-0.1336,0.0078,-0.1414,-14.42
14zPzYTfR5i9r1Vd48Esdn3RQvo88T4xvLrpBMsyfzy,GskVxHcEi6YCoxksawkhqDJ4vJQF7i21frf2DUHWJFYK,SMM,meteora,2026-09-12 20:52:26,80516.0,16562.39,44841.9,10323,0.00006644,0.1500,229231.20924894515,0.0,0.0,2,0,0.00008127,+22.3%,0.0%,69,CLOSED,2026-09-12 20:53:35,0.00005997,0.00005813,TRAILING_STOP (-20% from Peak),-0.0188,0.0074,-0.0262,-2.66
Vs3pDKNzSKAEtTf8GhvwoobnzP14hNoa7BibGjDpump,2PCykwwqSHFyRoUuvN4Qncs8DkmS1XVwsDp98oCBpvL5,MRNA,pumpswap,2026-09-12 21:01:40,92924.0,24058.14,34757.29,1,0.00009345,0.0500,54493.27763926369,0.0,0.0,1,0,0.00009345,+0.0%,0.0%,69,CLOSED,2026-09-12 21:02:49,0.00000517,0.00000505,HARD_STOP (-94.5%),-0.0473,0.0063,-0.0535,-5.43
CNTcaYTBBrSjYQXrWSL3T126eCjYnmvAhSwYBXBScLLM,Bg9DC5rDRBqtCZM9YTWxnisehoUooZ19SenaxEzDYfiV,​,raydium,2026-09-12 21:06:39,734816.0,73792.95,522263.42,101,0.00084243,0.1500,18152.773857070464,0.0,0.0,3,0,0.00089240,+5.9%,0.0%,1643,CLOSED,2026-09-12 21:34:02,0.00000004,0.00000004,HARD_STOP (-100.0%),-0.1500,0.0068,-0.1567,-15.89
7bZY7dBihLhTVKYkSJk7XhESyaXRrzwRtwjLCHWJpump,CxU6YJmGNUR7K9HqvUbQTn2SSKg3342tFXh5jqoR1YGk,SAFEMOON,pumpswap,2026-09-12 22:00:20,76620.0,21719.64,50687.7,1,0.00007837,0.0500,65033.8986188606,0.0,0.0,1,0,0.00007837,+0.0%,0.0%,143,CLOSED,2026-09-12 22:02:43,0.00004428,0.00004399,HARD_STOP (-43.5%),-0.0218,0.0064,-0.0282,-2.85
GAVNZKxbEt1sL5YHnR5gX9v1rNswJVTHH4ycYuoXpump,7hx3FcNkUaBoG5VDxhFuzmeefrYPuyhUBbwRF7ASozgN,PUMPCHAN,pumpswap,2026-09-12 22:12:48,73451.0,23381.21,37035.59,1,0.00008560,0.1500,178618.03023504245,0.0,0.0,3,0,0.00009133,+6.7%,0.0%,471,CLOSED,2026-09-12 22:20:39,0.00004552,0.00004450,HARD_STOP (-46.8%),-0.0722,0.0071,-0.0793,-8.11
WmyaoqcT9HPMG5ZgXprgDLFyFdEa38ne9q94SELpump,6ZRmoBVaKyW6V91kqU3ncY1sYWrkdE1mF6jbfJoKZF3i,Fomometer,pumpswap,2026-09-12 22:29:44,75250.0,21473.91,25039.91,1,0.00008852,0.1500,171764.91474448566,0.0,0.14741736300009134,3,1,0.00017910,+102.3%,0.0%,219,CLOSED,2026-09-12 22:33:23,0.00000315,0.00000307,HARD_STOP (-96.4%),0.0000,0.0075,-0.0075,-0.76
93oiJqw78EUpL4JAxKSb1rdnsZw69HQjgQQ9DVpPpump,7xNGzt2v3W9qBC6xBdQHqmgmEhFf6B8VMS5D3VReUrPN,PUMPDOG,pumpswap,2026-09-12 23:03:27,74271.0,21308.37,22385.63,1,0.00008187,0.1500,186292.36620768195,0.0,0.0,3,0,0.00011900,+45.4%,0.0%,11009,CLOSED,2026-09-13 02:06:56,0.00009427,0.00009289,TRAILING_STOP (-20% from Peak),0.0188,0.0076,0.0112,1.15
3uEVodfTeqLsBssjQ5VPEwwdsTwWCJGCd3FVyx7RUNVB,5NVx3SjDrTHaGD3XPFWTtkLFvmVBwW8nFv3Ut1cHBqpo,ISG,raydium,2026-09-12 23:21:04,97526.0,29476.94,177399.24,101,0.00012453,0.1500,123076.69034599574,0.0,0.0,3,0,0.00014150,+13.6%,0.0%,4590,CLOSED,2026-09-13 00:37:34,0.00006745,0.00006512,HARD_STOP (-45.8%),-0.0713,0.0071,-0.0785,-8.00
